Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 2 2019,5:00p,Pelicans,104,Thunder,115,Box Score,,18203,
Sat Nov 2 2019,7:00p,Nets,109,Pistons,113,Box Score,,17222,
Sat Nov 2 2019,7:00p,Nuggets,91,Magic,87,Box Score,,17025,
Sat Nov 2 2019,8:00p,Suns,114,Grizzlies,105,Box Score,,14144,
Sat Nov 2 2019,8:00p,Raptors,105,Bucks,115,Box Score,,17637,
Sat Nov 2 2019,8:00p,Timberwolves,131,Wizards,109,Box Score,,15150,
Sat Nov 2 2019,8:30p,Hornets,93,Warriors,87,Box Score,,18064,
Sat Nov 2 2019,10:00p,Sixers,129,Blazers,128,Box Score,,19669,
Sun Nov 3 2019,5:00p,Bulls,95,Pacers,108,Box Score,,17073,
Sun Nov 3 2019,6:00p,Rockets,100,Heat,129,Box Score,,19724,
Sun Nov 3 2019,6:00p,Kings,113,Knicks,92,Box Score,,19812,
Sun Nov 3 2019,7:00p,Lakers,103,Spurs,96,Box Score,,18610,
Sun Nov 3 2019,7:30p,Mavericks,131,Cavaliers,111,Box Score,,18078,
Sun Nov 3 2019,9:00p,Jazz,94,Clippers,105,Box Score,,19068,
Mon Nov 4 2019,7:00p,Pistons,99,Wizards,115,Box Score,,13052,
Mon Nov 4 2019,7:30p,Pelicans,125,Nets,135,Box Score,,17194,
Mon Nov 4 2019,8:00p,Rockets,107,Grizzlies,100,Box Score,,14197,
Mon Nov 4 2019,8:00p,Bucks,134,Timberwolves,106,Box Score,,16271,
Mon Nov 4 2019,9:00p,Sixers,109,Suns,114,Box Score,,14285,
Mon Nov 4 2019,10:30p,Blazers,118,Warriors,127,Box Score,,18064,
Tue Nov 5 2019,7:00p,Pacers,120,Hornets,122,Box Score,OT,13341,
Tue Nov 5 2019,7:00p,Celtics,119,Cavaliers,113,Box Score,,17709,
Tue Nov 5 2019,7:30p,Spurs,100,Hawks,108,Box Score,,14025,
Tue Nov 5 2019,8:00p,Lakers,118,Bulls,112,Box Score,,21193,
Tue Nov 5 2019,8:00p,Magic,94,Thunder,102,Box Score,,18203,
Tue Nov 5 2019,9:00p,Heat,89,Nuggets,109,Box Score,,18010,
Wed Nov 6 2019,7:00p,Knicks,102,Pistons,122,Box Score,,15463,
Wed Nov 6 2019,7:00p,Wizards,106,Pacers,121,Box Score,,16171,
Wed Nov 6 2019,7:30p,Bulls,113,Hawks,93,Box Score,,15049,
Wed Nov 6 2019,7:30p,Warriors,112,Rockets,129,Box Score,,18055,
Wed Nov 6 2019,7:30p,Kings,120,Raptors,124,Box Score,,19800,
Wed Nov 6 2019,8:00p,Timberwolves,121,Grizzlies,137,Box Score,,13503,
Wed Nov 6 2019,8:30p,Magic,106,Mavericks,107,Box Score,,19487,
Wed Nov 6 2019,9:00p,Sixers,104,Jazz,106,Box Score,,18306,
Wed Nov 6 2019,10:00p,Bucks,129,Clippers,124,Box Score,,19068,
Thu Nov 7 2019,8:00p,Celtics,108,Hornets,87,Box Score,,18487,
Thu Nov 7 2019,8:30p,Thunder,112,Spurs,121,Box Score,,18354,
Thu Nov 7 2019,9:00p,Heat,124,Suns,108,Box Score,,15498,
Thu Nov 7 2019,10:30p,Blazers,101,Clippers,107,Box Score,,19068,
Fri Nov 8 2019,7:00p,Pistons,106,Pacers,112,Box Score,,15544,
Fri Nov 8 2019,7:00p,Grizzlies,86,Magic,118,Box Score,,17021,
Fri Nov 8 2019,7:00p,Cavaliers,113,Wizards,100,Box Score,,16946,
Fri Nov 8 2019,7:30p,Kings,121,Hawks,109,Box Score,,16447,
Fri Nov 8 2019,8:00p,Warriors,119,Timberwolves,125,Box Score,OT,15647,
Fri Nov 8 2019,8:00p,Raptors,122,Pelicans,104,Box Score,,16337,
Fri Nov 8 2019,8:30p,Knicks,106,Mavericks,102,Box Score,,20257,
Fri Nov 8 2019,9:00p,Sixers,97,Nuggets,100,Box Score,,19520,
Fri Nov 8 2019,9:00p,Bucks,100,Jazz,103,Box Score,,18306,
Fri Nov 8 2019,10:00p,Nets,119,Blazers,115,Box Score,,20089,
Fri Nov 8 2019,10:30p,Heat,80,Lakers,95,Box Score,,18997,
Sat Nov 9 2019,5:00p,Celtics,135,Spurs,115,Box Score,,18354,
Sat Nov 9 2019,7:00p,Pelicans,115,Hornets,110,Box Score,,18513,
Sat Nov 9 2019,8:00p,Rockets,117,Bulls,94,Box Score,,20482,
Sat Nov 9 2019,8:00p,Mavericks,138,Grizzlies,122,Box Score,,15753,
Sat Nov 9 2019,8:00p,Warriors,108,Thunder,114,Box Score,,18203,
Sun Nov 10 2019,3:30p,Nuggets,100,Timberwolves,98,Box Score,OT,13553,
Sun Nov 10 2019,6:00p,Pacers,109,Magic,102,Box Score,,17118,
Sun Nov 10 2019,6:00p,Hornets,106,Sixers,114,Box Score,,20311,
Sun Nov 10 2019,7:00p,Bucks,121,Thunder,119,Box Score,,18203,
Sun Nov 10 2019,7:30p,Cavaliers,108,Knicks,87,Box Score,,19812,
Sun Nov 10 2019,8:00p,Nets,112,Suns,138,Box Score,,17290,
Sun Nov 10 2019,9:00p,Hawks,113,Blazers,124,Box Score,OT,20041,
Sun Nov 10 2019,9:30p,Raptors,113,Lakers,104,Box Score,,18997,
Mon Nov 11 2019,7:00p,Timberwolves,120,Pistons,114,Box Score,,12526,
Mon Nov 11 2019,7:30p,Mavericks,106,Celtics,116,Box Score,,18624,
Mon Nov 11 2019,7:30p,Grizzlies,113,Spurs,109,Box Score,,18627,
Mon Nov 11 2019,8:00p,Rockets,122,Pelicans,116,Box Score,,16695,
Mon Nov 11 2019,10:30p,Jazz,122,Warriors,108,Box Score,,18064,
Mon Nov 11 2019,10:30p,Raptors,88,Clippers,98,Box Score,,19068,
Tue Nov 12 2019,7:00p,Thunder,85,Pacers,111,Box Score,,15838,
Tue Nov 12 2019,7:00p,Cavaliers,97,Sixers,98,Box Score,,20294,
Tue Nov 12 2019,7:30p,Pistons,108,Heat,117,Box Score,,19600,
Tue Nov 12 2019,8:00p,Knicks,102,Bulls,120,Box Score,,18668,
Tue Nov 12 2019,9:00p,Hawks,125,Nuggets,121,Box Score,,18327,
Tue Nov 12 2019,9:00p,Lakers,123,Suns,115,Box Score,,18055,
Tue Nov 12 2019,9:00p,Nets,114,Jazz,119,Box Score,,18306,
Tue Nov 12 2019,10:00p,Blazers,99,Kings,107,Box Score,,16358,
Wed Nov 13 2019,7:00p,Grizzlies,119,Hornets,117,Box Score,,13155,
Wed Nov 13 2019,7:00p,Sixers,97,Magic,112,Box Score,,15113,
Wed Nov 13 2019,7:30p,Wizards,133,Celtics,140,Box Score,,19156,
Wed Nov 13 2019,7:30p,Clippers,93,Rockets,102,Box Score,,18055,
Wed Nov 13 2019,8:00p,Spurs,114,Timberwolves,129,Box Score,,11581,
Wed Nov 13 2019,10:00p,Warriors,94,Lakers,120,Box Score,,18997,
Wed Nov 13 2019,10:00p,Raptors,114,Blazers,106,Box Score,,19544,
Thu Nov 14 2019,6:00p,Heat,108,Cavaliers,97,Box Score,,17374,
