Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Dec 7 2019,10:00p,Grizzlies,112,Jazz,126,Box Score,,18306,
Sun Dec 8 2019,3:00p,Nuggets,102,Nets,105,Box Score,,16679,
Sun Dec 8 2019,5:00p,Hawks,122,Hornets,107,Box Score,,15489,
Sun Dec 8 2019,6:00p,Bulls,105,Heat,110,Box Score,OT,19600,
Sun Dec 8 2019,6:00p,Raptors,104,Sixers,110,Box Score,,20313,
Sun Dec 8 2019,6:00p,Clippers,135,Wizards,119,Box Score,,15946,
Sun Dec 8 2019,7:00p,Kings,110,Mavericks,106,Box Score,,19566,
Sun Dec 8 2019,9:00p,Thunder,108,Blazers,96,Box Score,,19393,
Sun Dec 8 2019,9:30p,Timberwolves,125,Lakers,142,Box Score,,18997,
Mon Dec 9 2019,7:00p,Clippers,110,Pacers,99,Box Score,,14644,
Mon Dec 9 2019,7:30p,Cavaliers,88,Celtics,110,Box Score,,19156,
Mon Dec 9 2019,8:00p,Raptors,93,Bulls,92,Box Score,,14775,
Mon Dec 9 2019,8:00p,Kings,119,Rockets,118,Box Score,,18055,
Mon Dec 9 2019,8:00p,Magic,101,Bucks,110,Box Score,,17385,
Mon Dec 9 2019,8:00p,Pistons,105,Pelicans,103,Box Score,,13694,
Mon Dec 9 2019,9:00p,Timberwolves,109,Suns,125,Box Score,,13230,
Mon Dec 9 2019,9:00p,Thunder,104,Jazz,90,Box Score,,18306,
Mon Dec 9 2019,10:30p,Grizzlies,110,Warriors,102,Box Score,,18064,
Tue Dec 10 2019,7:00p,Wizards,107,Hornets,114,Box Score,,10626,
Tue Dec 10 2019,8:00p,Hawks,121,Heat,135,Box Score,OT,19600,
Tue Dec 10 2019,8:00p,Nuggets,92,Sixers,97,Box Score,,20591,
Tue Dec 10 2019,10:00p,Knicks,87,Blazers,115,Box Score,,19393,
Wed Dec 11 2019,7:00p,Rockets,116,Cavaliers,110,Box Score,,17122,
Wed Dec 11 2019,7:00p,Celtics,117,Pacers,122,Box Score,,15637,
Wed Dec 11 2019,7:00p,Lakers,96,Magic,87,Box Score,,18846,
Wed Dec 11 2019,7:00p,Clippers,112,Raptors,92,Box Score,,20144,
Wed Dec 11 2019,7:30p,Hornets,113,Nets,108,Box Score,,15631,
Wed Dec 11 2019,8:00p,Hawks,102,Bulls,136,Box Score,,15084,
Wed Dec 11 2019,8:00p,Jazz,127,Timberwolves,116,Box Score,,12369,
Wed Dec 11 2019,9:00p,Grizzlies,115,Suns,108,Box Score,,12254,
Wed Dec 11 2019,9:30p,Pelicans,112,Bucks,127,Box Score,,17385,
Wed Dec 11 2019,10:00p,Thunder,93,Kings,94,Box Score,,16723,
Wed Dec 11 2019,10:30p,Knicks,124,Warriors,122,Box Score,OT,18064,
Thu Dec 12 2019,8:00p,Sixers,115,Celtics,109,Box Score,,19156,
Thu Dec 12 2019,8:30p,Cavaliers,117,Spurs,109,Box Score,OT,18354,
Thu Dec 12 2019,9:00p,Mavericks,122,Pistons,111,Box Score,,20064,at Mexico City Mexico
Thu Dec 12 2019,10:30p,Blazers,99,Nuggets,114,Box Score,,18828,
Fri Dec 13 2019,7:00p,Lakers,113,Heat,110,Box Score,,20013,
Fri Dec 13 2019,7:00p,Rockets,130,Magic,107,Box Score,,16335,
Fri Dec 13 2019,7:00p,Pelicans,109,Sixers,116,Box Score,,20620,
Fri Dec 13 2019,7:30p,Pacers,110,Hawks,100,Box Score,,15121,
Fri Dec 13 2019,8:00p,Hornets,83,Bulls,73,Box Score,,18377,
Fri Dec 13 2019,8:00p,Bucks,127,Grizzlies,114,Box Score,,16109,
Fri Dec 13 2019,9:00p,Warriors,106,Jazz,114,Box Score,,18306,
Fri Dec 13 2019,9:30p,Clippers,124,Timberwolves,117,Box Score,,17585,
Fri Dec 13 2019,10:00p,Knicks,103,Kings,101,Box Score,,17583,
Sat Dec 14 2019,5:00p,Spurs,121,Suns,119,Box Score,OT,20013,at Mexico City Mexico
Sat Dec 14 2019,7:30p,Nets,102,Raptors,110,Box Score,,19800,
Sat Dec 14 2019,8:00p,Clippers,106,Bulls,109,Box Score,,18426,
Sat Dec 14 2019,8:00p,Wizards,111,Grizzlies,128,Box Score,,15631,
Sat Dec 14 2019,8:30p,Heat,122,Mavericks,118,Box Score,OT,20333,
Sat Dec 14 2019,8:30p,Cavaliers,108,Bucks,125,Box Score,,17481,
Sat Dec 14 2019,9:00p,Thunder,102,Nuggets,110,Box Score,,19520,
Sat Dec 14 2019,9:00p,Pistons,115,Rockets,107,Box Score,,18055,
Sun Dec 15 2019,3:30p,Magic,130,Pelicans,119,Box Score,,15388,
Sun Dec 15 2019,5:00p,Hornets,85,Pacers,107,Box Score,,16061,
Sun Dec 15 2019,6:00p,Lakers,101,Hawks,96,Box Score,,16962,
Sun Dec 15 2019,6:00p,Sixers,89,Nets,109,Box Score,,17732,
Sun Dec 15 2019,8:00p,Knicks,105,Nuggets,111,Box Score,,18867,
Sun Dec 15 2019,8:30p,Kings,100,Warriors,79,Box Score,,18064,
Mon Dec 16 2019,7:00p,Wizards,133,Pistons,119,Box Score,,14632,
Mon Dec 16 2019,7:30p,Cavaliers,113,Raptors,133,Box Score,,19800,
Mon Dec 16 2019,8:00p,Spurs,107,Rockets,109,Box Score,,18055,
Mon Dec 16 2019,8:00p,Heat,111,Grizzlies,118,Box Score,,14021,
Mon Dec 16 2019,8:00p,Mavericks,120,Bucks,116,Box Score,,17727,
Mon Dec 16 2019,8:00p,Bulls,106,Thunder,109,Box Score,,18203,
Mon Dec 16 2019,9:00p,Blazers,111,Suns,110,Box Score,,14193,
Tue Dec 17 2019,7:00p,Kings,102,Hornets,110,Box Score,,13229,
Tue Dec 17 2019,7:00p,Lakers,102,Pacers,105,Box Score,,17923,
Tue Dec 17 2019,7:30p,Hawks,120,Knicks,143,Box Score,,18268,
Tue Dec 17 2019,8:00p,Nets,108,Pelicans,101,Box Score,OT,15177,
Tue Dec 17 2019,9:00p,Magic,102,Jazz,109,Box Score,,18306,
Tue Dec 17 2019,10:30p,Suns,99,Clippers,120,Box Score,,19068,
Wed Dec 18 2019,7:00p,Hornets,98,Cavaliers,100,Box Score,,17023,
Wed Dec 18 2019,7:00p,Raptors,112,Pistons,99,Box Score,,15319,
Wed Dec 18 2019,7:00p,Heat,108,Sixers,104,Box Score,,20715,
Wed Dec 18 2019,7:00p,Bulls,110,Wizards,109,Box Score,OT,14987,
Wed Dec 18 2019,8:00p,Pelicans,107,Timberwolves,99,Box Score,,12490,
Wed Dec 18 2019,8:00p,Grizzlies,122,Thunder,126,Box Score,,18203,
Wed Dec 18 2019,9:00p,Magic,104,Nuggets,113,Box Score,,18182,
Wed Dec 18 2019,9:30p,Celtics,109,Mavericks,103,Box Score,,20181,
Wed Dec 18 2019,10:00p,Warriors,112,Blazers,122,Box Score,,19393,
Thu Dec 19 2019,7:30p,Jazz,111,Hawks,106,Box Score,,16739,
Thu Dec 19 2019,8:00p,Lakers,104,Bucks,111,Box Score,,18051,
Thu Dec 19 2019,8:30p,Nets,105,Spurs,118,Box Score,,18354,
Thu Dec 19 2019,10:30p,Rockets,122,Clippers,117,Box Score,,19068,
Fri Dec 20 2019,7:00p,Grizzlies,107,Cavaliers,114,Box Score,,19432,
Fri Dec 20 2019,7:00p,Kings,105,Pacers,119,Box Score,,14649,
Fri Dec 20 2019,7:30p,Pistons,93,Celtics,114,Box Score,,19156,
Fri Dec 20 2019,7:30p,Wizards,118,Raptors,122,Box Score,,19800,
Fri Dec 20 2019,8:00p,Knicks,114,Heat,129,Box Score,,19704,
Fri Dec 20 2019,8:00p,Suns,108,Thunder,126,Box Score,,18203,
Fri Dec 20 2019,8:00p,Mavericks,117,Sixers,98,Box Score,,20778,
Fri Dec 20 2019,9:00p,Timberwolves,100,Nuggets,109,Box Score,,19520,
Fri Dec 20 2019,10:00p,Magic,103,Blazers,118,Box Score,,19393,
Fri Dec 20 2019,10:30p,Pelicans,102,Warriors,106,Box Score,,18064,
Sat Dec 21 2019,5:00p,Jazz,114,Hornets,107,Box Score,,16187,
Sat Dec 21 2019,6:00p,Hawks,112,Nets,122,Box Score,,16496,
Sat Dec 21 2019,7:00p,Bulls,119,Pistons,107,Box Score,,15948,
Sat Dec 21 2019,7:00p,Wizards,108,Sixers,125,Box Score,,20529,
Sat Dec 21 2019,7:30p,Bucks,123,Knicks,102,Box Score,,18124,
Sat Dec 21 2019,8:00p,Kings,115,Grizzlies,119,Box Score,,15603,
Sat Dec 21 2019,8:30p,Clippers,134,Spurs,109,Box Score,,18354,
Sat Dec 21 2019,9:00p,Rockets,139,Suns,125,Box Score,,16061,
Sat Dec 21 2019,10:00p,Timberwolves,106,Blazers,113,Box Score,,19393,
Sun Dec 22 2019,3:30p,Mavericks,107,Raptors,110,Box Score,,19800,
Sun Dec 22 2019,6:00p,Hornets,93,Celtics,119,Box Score,,19156,
Sun Dec 22 2019,7:00p,Pacers,89,Bucks,117,Box Score,,18029,
Sun Dec 22 2019,7:00p,Clippers,112,Thunder,118,Box Score,,18203,
Sun Dec 22 2019,9:30p,Nuggets,128,Lakers,104,Box Score,,18997,
Mon Dec 23 2019,7:00p,Hawks,118,Cavaliers,121,Box Score,,18007,
Mon Dec 23 2019,7:00p,Sixers,125,Pistons,109,Box Score,,16476,
Mon Dec 23 2019,7:00p,Raptors,115,Pacers,120,Box Score,OT,17164,
Mon Dec 23 2019,7:00p,Wizards,121,Knicks,115,Box Score,,19413,
Mon Dec 23 2019,7:00p,Bulls,95,Magic,103,Box Score,,18846,
Mon Dec 23 2019,7:30p,Jazz,104,Heat,107,Box Score,,19890,
Mon Dec 23 2019,8:00p,Spurs,145,Grizzlies,115,Box Score,,16776,
Mon Dec 23 2019,9:00p,Nuggets,113,Suns,111,Box Score,,16041,
Mon Dec 23 2019,10:00p,Pelicans,102,Blazers,94,Box Score,,19499,
Mon Dec 23 2019,10:00p,Rockets,113,Kings,104,Box Score,,17583,
Mon Dec 23 2019,10:30p,Timberwolves,104,Warriors,113,Box Score,,18064,
Wed Dec 25 2019,12:00p,Celtics,118,Raptors,102,Box Score,,19800,
Wed Dec 25 2019,2:30p,Bucks,109,Sixers,121,Box Score,,21028,
Wed Dec 25 2019,5:00p,Rockets,104,Warriors,116,Box Score,,18064,
Wed Dec 25 2019,8:00p,Clippers,111,Lakers,106,Box Score,,18997,
Wed Dec 25 2019,10:30p,Pelicans,112,Nuggets,100,Box Score,,19520,
Thu Dec 26 2019,7:00p,Wizards,102,Pistons,132,Box Score,,17188,
Thu Dec 26 2019,7:30p,Knicks,94,Nets,82,Box Score,,17732,
Thu Dec 26 2019,8:00p,Spurs,98,Mavericks,102,Box Score,,20427,
Thu Dec 26 2019,8:00p,Grizzlies,110,Thunder,97,Box Score,,18203,
Thu Dec 26 2019,10:00p,Timberwolves,105,Kings,104,Box Score,2OT,17583,
Thu Dec 26 2019,10:30p,Blazers,115,Jazz,121,Box Score,,18306,
Fri Dec 27 2019,4:00p,Cavaliers,117,Celtics,129,Box Score,,19156,
Fri Dec 27 2019,7:00p,Thunder,104,Hornets,102,Box Score,OT,18418,
Fri Dec 27 2019,7:00p,Sixers,97,Magic,98,Box Score,,17311,
Fri Dec 27 2019,7:30p,Bucks,112,Hawks,86,Box Score,,17358,
Fri Dec 27 2019,8:00p,Pacers,112,Heat,113,Box Score,,19767,
Fri Dec 27 2019,10:30p,Suns,96,Warriors,105,Box Score,,18064,
Sat Dec 28 2019,5:00p,Grizzlies,110,Nuggets,119,Box Score,,19697,
Sat Dec 28 2019,7:00p,Raptors,113,Celtics,97,Box Score,,19156,
Sat Dec 28 2019,7:00p,Pacers,98,Pelicans,120,Box Score,,15391,
Sat Dec 28 2019,8:00p,Hawks,81,Bulls,116,Box Score,,21496,
Sat Dec 28 2019,8:00p,Nets,98,Rockets,108,Box Score,,18306,
Sat Dec 28 2019,8:00p,Sixers,116,Heat,117,Box Score,OT,19865,
Sat Dec 28 2019,8:00p,Cavaliers,94,Timberwolves,88,Box Score,,15411,
Sat Dec 28 2019,8:00p,Knicks,107,Wizards,100,Box Score,,19033,
Sat Dec 28 2019,8:30p,Mavericks,141,Warriors,121,Box Score,,18064,
Sat Dec 28 2019,8:30p,Magic,100,Bucks,111,Box Score,,17920,
Sat Dec 28 2019,8:30p,Pistons,109,Spurs,136,Box Score,,18524,
Sat Dec 28 2019,9:00p,Suns,112,Kings,110,Box Score,,17583,
Sat Dec 28 2019,10:00p,Lakers,128,Blazers,120,Box Score,,19960,
Sat Dec 28 2019,10:30p,Jazz,120,Clippers,107,Box Score,,19068,
Sun Dec 29 2019,6:00p,Thunder,98,Raptors,97,Box Score,,19800,
Sun Dec 29 2019,8:00p,Kings,115,Nuggets,120,Box Score,,19520,
Sun Dec 29 2019,8:00p,Hornets,104,Grizzlies,117,Box Score,,16842,
Sun Dec 29 2019,8:00p,Rockets,112,Pelicans,127,Box Score,,17712,
Sun Dec 29 2019,9:30p,Mavericks,95,Lakers,108,Box Score,,18997,
Mon Dec 30 2019,7:00p,Hawks,101,Magic,93,Box Score,,17784,
Mon Dec 30 2019,7:00p,Heat,105,Wizards,123,Box Score,,20476,
Mon Dec 30 2019,8:00p,Bucks,123,Bulls,102,Box Score,,21954,
Mon Dec 30 2019,8:00p,Nets,115,Timberwolves,122,Box Score,OT,15824,
Mon Dec 30 2019,9:00p,Pistons,81,Jazz,104,Box Score,,18306,
Mon Dec 30 2019,10:00p,Suns,122,Blazers,116,Box Score,,19896,
Tue Dec 31 2019,3:00p,Celtics,109,Hornets,92,Box Score,,19216,
Tue Dec 31 2019,3:00p,Sixers,97,Pacers,115,Box Score,,17923,
Tue Dec 31 2019,5:00p,Clippers,105,Kings,87,Box Score,,16231,
Tue Dec 31 2019,7:00p,Nuggets,104,Rockets,130,Box Score,,18055,
Tue Dec 31 2019,7:00p,Warriors,113,Spurs,117,Box Score,OT,18354,
Tue Dec 31 2019,7:00p,Cavaliers,97,Raptors,117,Box Score,,19800,
Tue Dec 31 2019,8:00p,Mavericks,101,Thunder,106,Box Score,,18203,
Wed Jan 1 2020,6:00p,Magic,122,Wizards,101,Box Score,,14921,
Wed Jan 1 2020,7:30p,Blazers,93,Knicks,117,Box Score,,19812,
Wed Jan 1 2020,8:00p,Timberwolves,104,Bucks,106,Box Score,,17819,
Wed Jan 1 2020,10:30p,Suns,107,Lakers,117,Box Score,,18997,
Thu Jan 2 2020,7:00p,Hornets,109,Cavaliers,106,Box Score,,17859,
Thu Jan 2 2020,7:00p,Nuggets,124,Pacers,116,Box Score,,16688,
Thu Jan 2 2020,7:30p,Raptors,76,Heat,84,Box Score,,19939,
Thu Jan 2 2020,8:00p,Jazz,102,Bulls,98,Box Score,,19398,
Thu Jan 2 2020,8:00p,Warriors,84,Timberwolves,99,Box Score,,15477,
Thu Jan 2 2020,8:30p,Nets,111,Mavericks,123,Box Score,,20289,
Thu Jan 2 2020,8:30p,Thunder,109,Spurs,103,Box Score,,18354,
Thu Jan 2 2020,10:00p,Grizzlies,123,Kings,128,Box Score,,17351,
Thu Jan 2 2020,10:30p,Pistons,112,Clippers,126,Box Score,,19068,
Fri Jan 3 2020,7:00p,Hawks,106,Celtics,109,Box Score,,19156,
Fri Jan 3 2020,7:00p,Heat,85,Magic,105,Box Score,,17198,
Fri Jan 3 2020,7:00p,Blazers,122,Wizards,103,Box Score,,17945,
Fri Jan 3 2020,8:00p,Sixers,108,Rockets,118,Box Score,,18055,
Fri Jan 3 2020,9:00p,Knicks,112,Suns,120,Box Score,,18055,
Fri Jan 3 2020,10:30p,Pelicans,113,Lakers,123,Box Score,,18997,
Sat Jan 4 2020,3:30p,Grizzlies,140,Clippers,114,Box Score,,19068,
Sat Jan 4 2020,6:00p,Raptors,121,Nets,102,Box Score,,17732,
Sat Jan 4 2020,7:00p,Jazz,109,Magic,96,Box Score,,16913,
Sat Jan 4 2020,7:30p,Pacers,111,Hawks,116,Box Score,,16420,
Sat Jan 4 2020,7:30p,Thunder,121,Cavaliers,106,Box Score,,19432,
Sat Jan 4 2020,8:00p,Celtics,111,Bulls,104,Box Score,,21130,
Sat Jan 4 2020,8:00p,Nuggets,114,Wizards,128,Box Score,,16233,
Sat Jan 4 2020,8:30p,Hornets,123,Mavericks,120,Box Score,OT,20327,
Sat Jan 4 2020,8:30p,Pistons,111,Warriors,104,Box Score,,18064,
Sat Jan 4 2020,8:30p,Spurs,118,Bucks,127,Box Score,,18002,
Sat Jan 4 2020,10:00p,Pelicans,117,Kings,115,Box Score,,16808,
Sun Jan 5 2020,3:30p,Knicks,132,Clippers,135,Box Score,,19068,
Sun Jan 5 2020,6:00p,Blazers,111,Heat,122,Box Score,,19846,
Sun Jan 5 2020,7:30p,Timberwolves,118,Cavaliers,103,Box Score,,16159,
Sun Jan 5 2020,8:00p,Grizzlies,121,Suns,114,Box Score,,14181,
Sun Jan 5 2020,10:00p,Pistons,99,Lakers,106,Box Score,,18997,
Mon Jan 6 2020,7:00p,Pacers,115,Hornets,104,Box Score,,13009,
Mon Jan 6 2020,7:00p,Nets,89,Magic,101,Box Score,,15008,
Mon Jan 6 2020,7:00p,Thunder,113,Sixers,120,Box Score,,20561,
Mon Jan 6 2020,7:00p,Celtics,94,Wizards,99,Box Score,,17963,
Mon Jan 6 2020,7:30p,Nuggets,123,Hawks,115,Box Score,,15286,
Mon Jan 6 2020,8:00p,Jazz,128,Pelicans,126,Box Score,,14138,
Mon Jan 6 2020,8:30p,Bulls,110,Mavericks,118,Box Score,,20238,
Mon Jan 6 2020,8:30p,Bucks,104,Spurs,126,Box Score,,18354,
Mon Jan 6 2020,10:00p,Warriors,98,Kings,111,Box Score,,15819,
Tue Jan 7 2020,7:00p,Pistons,115,Cavaliers,113,Box Score,,17274,
Tue Jan 7 2020,7:00p,Blazers,101,Raptors,99,Box Score,,19800,
Tue Jan 7 2020,7:30p,Thunder,111,Nets,103,Box Score,OT,15677,
Tue Jan 7 2020,8:00p,Timberwolves,112,Grizzlies,119,Box Score,,14117,
Tue Jan 7 2020,9:00p,Kings,114,Suns,103,Box Score,,14134,
Tue Jan 7 2020,10:30p,Knicks,87,Lakers,117,Box Score,,18997,
Wed Jan 8 2020,7:00p,Spurs,129,Celtics,114,Box Score,,19156,
Wed Jan 8 2020,7:00p,Raptors,112,Hornets,110,Box Score,OT,13965,
Wed Jan 8 2020,7:00p,Heat,122,Pacers,108,Box Score,,17040,
Wed Jan 8 2020,7:00p,Wizards,89,Magic,123,Box Score,,16013,
Wed Jan 8 2020,7:30p,Rockets,122,Hawks,115,Box Score,,16514,
Wed Jan 8 2020,7:30p,Nuggets,107,Mavericks,106,Box Score,,20314,
Wed Jan 8 2020,8:00p,Bulls,108,Pelicans,123,Box Score,,15324,
Wed Jan 8 2020,9:00p,Knicks,104,Jazz,128,Box Score,,18306,
Wed Jan 8 2020,10:00p,Bucks,107,Warriors,98,Box Score,,18064,
Thu Jan 9 2020,7:00p,Cavaliers,115,Pistons,112,Box Score,OT,13445,
Thu Jan 9 2020,7:00p,Celtics,98,Sixers,109,Box Score,,20822,
Thu Jan 9 2020,8:00p,Blazers,102,Timberwolves,116,Box Score,,13720,
Thu Jan 9 2020,9:30p,Rockets,92,Thunder,113,Box Score,,18203,
Fri Jan 10 2020,7:00p,Hawks,101,Wizards,111,Box Score,,16360,
Fri Jan 10 2020,7:15p,Pelicans,123,Knicks,111,Box Score,,18003,
Fri Jan 10 2020,7:30p,Heat,113,Nets,117,Box Score,,16011,
Fri Jan 10 2020,8:00p,Pacers,116,Bulls,105,Box Score,,20229,
Fri Jan 10 2020,8:00p,Spurs,121,Grizzlies,134,Box Score,,16448,
Fri Jan 10 2020,9:00p,Magic,94,Suns,98,Box Score,,14562,
Fri Jan 10 2020,9:00p,Hornets,92,Jazz,109,Box Score,,18306,
Fri Jan 10 2020,9:45p,Lakers,129,Mavericks,114,Box Score,,20542,
Fri Jan 10 2020,10:00p,Bucks,127,Kings,106,Box Score,,17583,
Fri Jan 10 2020,10:30p,Warriors,100,Clippers,109,Box Score,,19068,
Sat Jan 11 2020,5:00p,Timberwolves,109,Rockets,139,Box Score,,18055,
Sat Jan 11 2020,7:00p,Pelicans,105,Celtics,140,Box Score,,19156,
Sat Jan 11 2020,7:00p,Bulls,108,Pistons,99,Box Score,,15951,
Sat Jan 11 2020,8:00p,Lakers,125,Thunder,110,Box Score,,18203,
Sat Jan 11 2020,8:30p,Sixers,91,Mavericks,109,Box Score,,20244,
Sat Jan 11 2020,9:00p,Cavaliers,111,Nuggets,103,Box Score,,19533,
Sat Jan 11 2020,10:00p,Bucks,122,Blazers,101,Box Score,,19843,
Sun Jan 12 2020,3:30p,Heat,121,Knicks,124,Box Score,,18861,
Sun Jan 12 2020,3:30p,Jazz,127,Wizards,116,Box Score,,15953,
Sun Jan 12 2020,6:00p,Hawks,86,Nets,108,Box Score,,15201,
Sun Jan 12 2020,6:00p,Warriors,102,Grizzlies,122,Box Score,,16408,
Sun Jan 12 2020,6:00p,Spurs,105,Raptors,104,Box Score,,19800,
Sun Jan 12 2020,8:00p,Clippers,104,Nuggets,114,Box Score,,19520,
Sun Jan 12 2020,8:00p,Hornets,92,Suns,100,Box Score,,14751,
Mon Jan 13 2020,7:00p,Pelicans,117,Pistons,110,Box Score,OT,13780,
Mon Jan 13 2020,7:00p,Sixers,95,Pacers,101,Box Score,,15257,
Mon Jan 13 2020,7:30p,Bulls,101,Celtics,113,Box Score,,19156,
Mon Jan 13 2020,8:00p,Thunder,117,Timberwolves,104,Box Score,,11044,
Mon Jan 13 2020,10:00p,Hornets,112,Blazers,115,Box Score,,19111,
Mon Jan 13 2020,10:00p,Magic,114,Kings,112,Box Score,,16299,
Mon Jan 13 2020,10:30p,Cavaliers,99,Lakers,128,Box Score,,18997,
Tue Jan 14 2020,7:30p,Suns,110,Hawks,123,Box Score,,16060,
Tue Jan 14 2020,7:30p,Jazz,118,Nets,107,Box Score,,15381,
Tue Jan 14 2020,8:00p,Rockets,110,Grizzlies,121,Box Score,,16181,
Tue Jan 14 2020,8:00p,Knicks,102,Bucks,128,Box Score,,17590,
Tue Jan 14 2020,10:30p,Mavericks,124,Warriors,97,Box Score,,18064,
Tue Jan 14 2020,10:30p,Cavaliers,103,Clippers,128,Box Score,,19068,
Wed Jan 15 2020,7:00p,Pistons,116,Celtics,103,Box Score,,19156,
Wed Jan 15 2020,7:00p,Nets,106,Sixers,117,Box Score,,20416,
Wed Jan 15 2020,7:30p,Spurs,100,Heat,106,Box Score,,19704,
Wed Jan 15 2020,8:00p,Wizards,106,Bulls,115,Box Score,,19382,
Wed Jan 15 2020,8:00p,Pacers,104,Timberwolves,99,Box Score,,12648,
Wed Jan 15 2020,8:00p,Raptors,130,Thunder,121,Box Score,,18203,
Wed Jan 15 2020,9:00p,Hornets,86,Nuggets,100,Box Score,,19520,
Wed Jan 15 2020,9:30p,Blazers,117,Rockets,107,Box Score,,18055,
Wed Jan 15 2020,10:00p,Mavericks,127,Kings,123,Box Score,,17029,
Wed Jan 15 2020,10:30p,Magic,119,Lakers,118,Box Score,,18997,
Thu Jan 16 2020,7:30p,Suns,121,Knicks,98,Box Score,,18215,
Thu Jan 16 2020,8:00p,Celtics,123,Bucks,128,Box Score,,17873,
Thu Jan 16 2020,8:00p,Jazz,132,Pelicans,138,Box Score,OT,16717,
Thu Jan 16 2020,10:30p,Nuggets,134,Warriors,131,Box Score,OT,18064,
Thu Jan 16 2020,10:30p,Magic,95,Clippers,122,Box Score,,19068,
Fri Jan 17 2020,7:00p,Timberwolves,114,Pacers,116,Box Score,,16248,
Fri Jan 17 2020,7:00p,Bulls,89,Sixers,100,Box Score,,20919,
Fri Jan 17 2020,7:00p,Wizards,111,Raptors,140,Box Score,,19800,
Fri Jan 17 2020,8:00p,Cavaliers,109,Grizzlies,113,Box Score,,17102,
Fri Jan 17 2020,8:00p,Heat,115,Thunder,108,Box Score,,18203,
Fri Jan 17 2020,8:30p,Hawks,121,Spurs,120,Box Score,,18354,
Fri Jan 17 2020,9:30p,Blazers,112,Mavericks,120,Box Score,,20283,
Sat Jan 18 2020,3:30p,Clippers,133,Pelicans,130,Box Score,,17959,
Sat Jan 18 2020,6:00p,Bucks,117,Nets,97,Box Score,,17732,
Sat Jan 18 2020,7:00p,Suns,123,Celtics,119,Box Score,,19156,
Sat Jan 18 2020,7:30p,Pistons,136,Hawks,103,Box Score,,17056,
Sat Jan 18 2020,7:30p,Sixers,90,Knicks,87,Box Score,,17812,
Sat Jan 18 2020,8:00p,Cavaliers,116,Bulls,118,Box Score,,19939,
Sat Jan 18 2020,8:00p,Raptors,122,Timberwolves,112,Box Score,,16520,
Sat Jan 18 2020,8:30p,Magic,95,Warriors,109,Box Score,,18064,
Sat Jan 18 2020,8:30p,Lakers,124,Rockets,115,Box Score,,18502,
Sat Jan 18 2020,9:00p,Blazers,106,Thunder,119,Box Score,,18203,
Sat Jan 18 2020,9:00p,Kings,101,Jazz,123,Box Score,,18306,
Sun Jan 19 2020,3:00p,Heat,102,Spurs,107,Box Score,,18422,
Sun Jan 19 2020,8:00p,Pacers,115,Nuggets,107,Box Score,,19520,
Mon Jan 20 2020,2:00p,Pistons,100,Wizards,106,Box Score,,17305,
Mon Jan 20 2020,2:30p,Raptors,122,Hawks,117,Box Score,,17300,
Mon Jan 20 2020,3:00p,Sixers,117,Nets,111,Box Score,,16801,
Mon Jan 20 2020,5:00p,Magic,106,Hornets,83,Box Score,,16133,
Mon Jan 20 2020,5:00p,Knicks,106,Cavaliers,86,Box Score,,17133,
Mon Jan 20 2020,5:00p,Thunder,112,Rockets,107,Box Score,,18055,
Mon Jan 20 2020,5:00p,Pelicans,126,Grizzlies,116,Box Score,,17794,
Mon Jan 20 2020,5:00p,Kings,113,Heat,118,Box Score,OT,19600,
Mon Jan 20 2020,5:00p,Bulls,98,Bucks,111,Box Score,,17747,
Mon Jan 20 2020,7:30p,Lakers,107,Celtics,139,Box Score,,19156,
Mon Jan 20 2020,8:00p,Nuggets,107,Timberwolves,100,Box Score,,12172,
Mon Jan 20 2020,9:00p,Spurs,120,Suns,118,Box Score,,14847,
Mon Jan 20 2020,9:00p,Pacers,88,Jazz,118,Box Score,,18306,
Mon Jan 20 2020,10:00p,Warriors,124,Blazers,129,Box Score,OT,19493,
Tue Jan 21 2020,8:30p,Clippers,110,Mavericks,107,Box Score,,19783,
Wed Jan 22 2020,7:00p,Kings,106,Pistons,127,Box Score,,13972,
Wed Jan 22 2020,7:00p,Thunder,120,Magic,114,Box Score,,18846,
Wed Jan 22 2020,7:00p,Sixers,95,Raptors,107,Box Score,,19800,
Wed Jan 22 2020,7:30p,Clippers,95,Hawks,102,Box Score,,14338,
Wed Jan 22 2020,7:30p,Grizzlies,95,Celtics,119,Box Score,,19156,
Wed Jan 22 2020,7:30p,Wizards,129,Heat,134,Box Score,OT,19600,
Wed Jan 22 2020,7:30p,Lakers,100,Knicks,92,Box Score,,19812,
Wed Jan 22 2020,8:00p,Timberwolves,110,Bulls,117,Box Score,,18875,
Wed Jan 22 2020,8:00p,Nuggets,105,Rockets,121,Box Score,,18055,
Wed Jan 22 2020,9:00p,Pacers,112,Suns,87,Box Score,,14691,
Wed Jan 22 2020,9:30p,Spurs,121,Pelicans,117,Box Score,,18365,
Wed Jan 22 2020,10:00p,Jazz,129,Warriors,96,Box Score,,18064,
Thu Jan 23 2020,7:00p,Wizards,124,Cavaliers,112,Box Score,,16689,
Thu Jan 23 2020,8:00p,Lakers,128,Nets,113,Box Score,,17732,
Thu Jan 23 2020,10:30p,Mavericks,133,Blazers,125,Box Score,,19574,
Fri Jan 24 2020,3:00p,Bucks,116,Hornets,103,Box Score,,15758,at Paris France
